t_days,altitude_km,velocity_km_s,drag_N
0.000,500.000,7.61268,1.421839e-04
0.250,499.978,7.61269,1.422476e-04
0.500,499.956,7.61270,1.423112e-04
0.750,499.933,7.61272,1.423749e-04
1.000,499.911,7.61273,1.424387e-04
1.250,499.889,7.61274,1.425026e-04
1.500,499.867,7.61275,1.425665e-04
1.750,499.844,7.61277,1.426304e-04
2.000,499.822,7.61278,1.426944e-04
2.250,499.800,7.61279,1.427585e-04
2.500,499.778,7.61280,1.428226e-04
2.750,499.755,7.61282,1.428868e-04
3.000,499.733,7.61283,1.429510e-04
3.250,499.711,7.61284,1.430153e-04
3.500,499.688,7.61285,1.430797e-04
3.750,499.666,7.61286,1.431441e-04
4.000,499.644,7.61288,1.432085e-04
4.250,499.621,7.61289,1.432731e-04
4.500,499.599,7.61290,1.433376e-04
4.750,499.576,7.61291,1.434023e-04
5.000,499.554,7.61293,1.434670e-04
5.250,499.532,7.61294,1.435317e-04
5.500,499.509,7.61295,1.435966e-04
5.750,499.487,7.61296,1.436614e-04
6.000,499.464,7.61298,1.437264e-04
6.250,499.442,7.61299,1.437914e-04
6.500,499.420,7.61300,1.438564e-04
6.750,499.397,7.61301,1.439215e-04
7.000,499.375,7.61303,1.439867e-04
7.250,499.352,7.61304,1.440519e-04
7.500,499.330,7.61305,1.441172e-04
7.750,499.307,7.61306,1.441825e-04
8.000,499.285,7.61308,1.442479e-04
8.250,499.262,7.61309,1.443134e-04
8.500,499.240,7.61310,1.443789e-04
8.750,499.217,7.61311,1.444445e-04
9.000,499.194,7.61313,1.445101e-04
9.250,499.172,7.61314,1.445758e-04
9.500,499.149,7.61315,1.446416e-04
9.750,499.127,7.61316,1.447074e-04
10.000,499.104,7.61318,1.447733e-04
10.250,499.082,7.61319,1.448392e-04
10.500,499.059,7.61320,1.449052e-04
10.750,499.036,7.61321,1.449712e-04
11.000,499.014,7.61323,1.450374e-04
11.250,498.991,7.61324,1.451035e-04
11.500,498.968,7.61325,1.451698e-04
11.750,498.946,7.61326,1.452361e-04
12.000,498.923,7.61328,1.453024e-04
12.250,498.900,7.61329,1.453688e-04
12.500,498.878,7.61330,1.454353e-04
12.750,498.855,7.61331,1.455018e-04
13.000,498.832,7.61333,1.455684e-04
13.250,498.810,7.61334,1.456351e-04
13.500,498.787,7.61335,1.457018e-04
13.750,498.764,7.61336,1.457686e-04
14.000,498.741,7.61338,1.458354e-04
14.250,498.719,7.61339,1.459023e-04
14.500,498.696,7.61340,1.459693e-04
14.750,498.673,7.61341,1.460363e-04
15.000,498.650,7.61343,1.461034e-04
15.250,498.627,7.61344,1.461706e-04
15.500,498.605,7.61345,1.462378e-04
15.750,498.582,7.61346,1.463050e-04
16.000,498.559,7.61348,1.463724e-04
16.250,498.536,7.61349,1.464398e-04
16.500,498.513,7.61350,1.465072e-04
16.750,498.490,7.61352,1.465747e-04
17.000,498.467,7.61353,1.466423e-04
17.250,498.445,7.61354,1.467099e-04
17.500,498.422,7.61355,1.467776e-04
17.750,498.399,7.61357,1.468454e-04
18.000,498.376,7.61358,1.469132e-04
18.250,498.353,7.61359,1.469811e-04
18.500,498.330,7.61360,1.470491e-04
18.750,498.307,7.61362,1.471171e-04
19.000,498.284,7.61363,1.471852e-04
19.250,498.261,7.61364,1.472533e-04
19.500,498.238,7.61366,1.473215e-04
19.750,498.215,7.61367,1.473898e-04
